,log2FoldChange,pvalue,padj
Os02g0232000,1.411006685,3.44E-06,6.55E-05
Os04g0591100,1.411129617,5.69E-09,2.41E-07
Os01g0686700,1.412629317,3.84E-05,0.00051944
Os03g0734200,1.413356978,6.33E-14,7.75E-12
Os02g0227100,1.414666046,5.16E-09,2.21E-07
Os01g0866500,1.414887126,6.94E-05,0.000851288
Os02g0300700,1.416768649,6.70E-18,1.82E-15
Os05g0195101,1.417985318,3.90E-13,4.10E-11
Os10g0329400,1.4184604,1.31E-08,4.95E-07
Os03g0148000,1.420572258,0.000597613,0.005113894
Os04g0386700,1.421824306,2.54E-13,2.79E-11
Os10g0546400,1.426973722,1.23E-10,7.78E-09
Os06g0498150,1.42697764,8.69E-14,1.03E-11
Os06g0166400,1.428001532,5.26E-11,3.61E-09
Os02g0181900,1.433032294,1.47E-12,1.37E-10
Os06g0473800,1.433624144,4.97E-11,3.44E-09
Os05g0572700,1.434125184,1.30E-07,3.81E-06
Os01g0743500,1.43434051,0.000899253,0.007099851
Os12g0626500,1.438047533,1.14E-08,4.37E-07
Os06g0274800,1.440880374,1.40E-06,2.99E-05
Os08g0189200,1.44213445,8.58E-08,2.67E-06
Os05g0569500,1.442431768,9.11E-11,5.92E-09
Os06g0716100,1.442687231,1.80E-09,8.73E-08
Os11g0267400,1.443466521,2.37E-05,0.000344646
Os07g0581300,1.443524658,1.74E-11,1.32E-09
Os09g0491740,1.444203332,2.30E-26,2.36E-23
Os06g0200350,1.445998279,0.000249539,0.002488541
Os10g0542100,1.446322655,7.40E-11,4.96E-09
Os03g0767800,1.447843791,1.67E-19,7.03E-17
Os11g0110000,1.448665195,1.14E-10,7.29E-09
Os06g0683400,1.449018135,1.19E-09,6.06E-08
Os06g0617800,1.449499685,4.06E-14,5.30E-12
Os02g0776600,1.449961596,3.69E-05,0.000500772
Os02g0512000,1.450779114,0.000208448,0.002144827
Os07g0634000,1.45114914,0.000212414,0.002175221
Os02g0580500,1.451189835,1.09E-12,1.07E-10
Os02g0173900,1.452098417,5.04E-14,6.36E-12
Os09g0513100,1.452414493,7.73E-12,6.28E-10
Os01g0848200,1.452532796,1.81E-08,6.60E-07
Os05g0237800,1.453100179,0.001256945,0.009269236
Os12g0269700,1.456314918,3.62E-11,2.60E-09
Os12g0600100,1.458604708,4.62E-09,2.01E-07
Os04g0518400,1.459827162,1.90E-09,9.16E-08
Os11g0202300,1.461483092,2.41E-06,4.76E-05
Os09g0433800,1.462528228,1.67E-16,3.60E-14
Os06g0686900,1.462753282,7.06E-05,0.0008638
Os04g0302300,1.463092388,0.000985306,0.007645343
Os03g0729000,1.463173322,2.56E-12,2.28E-10
Os08g0398800,1.46563699,3.83E-10,2.12E-08
Os05g0330150,1.467318034,3.69E-14,4.87E-12
Os03g0141200,1.46779946,1.03E-09,5.29E-08
Os08g0105700,1.468687524,7.91E-07,1.81E-05
Os07g0144500,1.468736093,0.000304908,0.002931763
Os11g0601950,1.469936108,0.000530016,0.004624191
Os01g0915000,1.470201308,2.39E-10,1.38E-08
Os06g0218200,1.470573765,0.000609806,0.005201286
Os03g0557900,1.472491779,1.49E-06,3.15E-05
Os02g0191300,1.472532879,4.39E-09,1.92E-07
Os01g0727500,1.475664959,1.84E-11,1.39E-09
Os12g0291400,1.478195847,9.16E-05,0.001066856
Os06g0176801,1.478923537,2.69E-05,0.000382946
Os03g0431200,1.47993255,5.42E-25,4.42E-22
Os02g0247800,1.483849848,1.22E-10,7.68E-09
Os05g0582500,1.49016066,8.05E-06,0.00013565
Os01g0765400,1.490823589,8.63E-15,1.27E-12
Os06g0221300,1.495024464,5.97E-14,7.42E-12
Os02g0258800,1.496664109,9.07E-14,1.06E-11
Os10g0341101,1.497792233,1.53E-06,3.20E-05
Os11g0151200,1.49906853,5.01E-05,0.000652538
Os03g0650200,1.500431507,0.000788084,0.00638764
Os05g0562800,1.501312327,5.74E-10,3.07E-08
Os08g0549900,1.506437489,0.000238747,0.002396091
Os01g0224200,1.507718485,2.06E-06,4.15E-05
Os05g0328632,1.508597072,1.84E-18,5.74E-16
Os08g0548500,1.508815664,0.001266914,0.009325295
Os05g0328466,1.509350322,5.30E-17,1.22E-14
Os07g0422100,1.509996783,2.25E-15,3.85E-13
Os05g0247800,1.511507192,5.37E-14,6.75E-12
Os03g0218500,1.513654505,1.90E-18,5.85E-16
Os02g0250600,1.515021306,0.000411948,0.003756321
Os09g0278000,1.515637463,4.55E-14,5.88E-12
Os09g0109600,1.515767904,1.75E-14,2.40E-12
Os06g0352200,1.517169487,8.85E-11,5.76E-09
Os12g0270900,1.517293134,1.61E-06,3.36E-05
Os06g0133400,1.518926151,0.000130958,0.001445677
Os03g0140650,1.520631813,5.65E-06,9.98E-05
Os03g0157700,1.520742018,1.33E-10,8.28E-09
Os05g0328800,1.520758827,5.37E-17,1.22E-14
Os11g0591000,1.522325172,5.83E-05,0.000742993
Os12g0147200,1.524730342,7.91E-14,9.54E-12
Os10g0345100,1.528497128,1.66E-10,9.94E-09
Os06g0147250,1.535170477,0.000185526,0.001943662
Os05g0195200,1.535519399,1.47E-10,8.94E-09
Os04g0480600,1.536621819,6.08E-07,1.46E-05
Os07g0480900,1.536697752,7.71E-11,5.12E-09
Os12g0428000,1.538101548,6.47E-07,1.53E-05
Os01g0558700,1.538556564,0.000113781,0.001280031
Os01g0813300,1.538711722,0.001192045,0.008868106
Os02g0533800,1.539602023,5.09E-17,1.18E-14
Os12g0583700,1.541895107,1.84E-11,1.39E-09
Os11g0454300,1.542259461,6.06E-14,7.50E-12
Os01g0918400,1.542681234,1.22E-11,9.49E-10
Os05g0171200,1.546131863,7.70E-06,0.000130587
Os12g0594000,1.548184293,4.51E-07,1.13E-05
Os02g0463401,1.54859633,9.86E-20,4.40E-17
Os03g0355500,1.549222651,0.001021052,0.007878737
Os05g0568100,1.550856297,2.82E-10,1.60E-08
Os12g0635400,1.552378575,5.36E-09,2.28E-07
Os02g0514150,1.552483276,1.48E-06,3.13E-05
Os09g0555500,1.55431077,0.000298586,0.002879264
Os05g0329300,1.55481929,5.13E-19,1.85E-16
Os05g0329350,1.555332547,1.51E-18,4.88E-16
Os01g0805400,1.555518704,2.07E-10,1.22E-08
Os03g0674300,1.556595484,3.27E-10,1.84E-08
Os05g0329100,1.556831299,3.02E-19,1.13E-16
Os05g0329001,1.558027687,1.50E-19,6.58E-17
Os05g0328901,1.558490629,2.58E-19,9.83E-17
Os09g0475800,1.560353501,4.60E-08,1.54E-06
Os10g0498000,1.562176152,3.83E-06,7.18E-05
Os05g0468800,1.562301115,7.60E-15,1.12E-12
Os10g0561800,1.562808033,9.07E-13,9.01E-11
Os02g0587000,1.563740911,0.000330825,0.003138924
Os05g0331366,1.563988374,2.42E-18,7.25E-16
Os05g0140800,1.565080022,1.29E-11,9.96E-10
Os05g0329700,1.567451998,2.39E-20,1.09E-17
Os07g0115200,1.569419374,5.25E-05,0.000681104
Os05g0329200,1.571646071,1.50E-20,7.24E-18
Os01g0705200,1.573030707,4.87E-15,7.52E-13
Os04g0589800,1.573674137,2.96E-12,2.60E-10
Os08g0412700,1.574756508,5.21E-06,9.31E-05
Os01g0634600,1.577124716,1.19E-06,2.59E-05
Os02g0685200,1.580659866,0.000920101,0.007229586
Os11g0451700,1.584273655,6.52E-12,5.44E-10
Os09g0127700,1.585435501,6.45E-16,1.23E-13
Os02g0733900,1.585656509,2.25E-06,4.49E-05
Os10g0490400,1.585727597,0.000194042,0.0020248
Os06g0207200,1.588523541,1.65E-14,2.30E-12
Os04g0480650,1.596033249,0.000224838,0.002274851
Os01g0170000,1.597913794,9.45E-08,2.90E-06
ENSRNA049473335,1.599272978,5.70E-06,0.000100448
Os10g0173000,1.601127805,8.05E-07,1.84E-05
Os06g0698300,1.60445787,9.70E-13,9.59E-11
Os01g0912700,1.609573318,4.73E-10,2.58E-08
Os06g0178601,1.611406255,3.49E-06,6.63E-05
Os03g0575200,1.612671065,3.69E-07,9.54E-06
Os11g0307600,1.612795696,0.000122258,0.001362362
Os03g0161500,1.614273752,6.70E-07,1.57E-05
Os11g0149200,1.616356754,2.01E-31,5.40E-28
Os04g0150300,1.618624631,4.59E-15,7.18E-13
Os05g0330600,1.621333399,3.50E-19,1.29E-16
Os11g0211800,1.624433326,2.18E-12,1.98E-10
Os03g0381500,1.630540261,3.52E-13,3.71E-11
Os03g0159600,1.630721611,0.00060173,0.005143541
Os01g0772900,1.631165331,1.89E-11,1.41E-09
Os03g0723400,1.635274294,3.02E-12,2.64E-10
Os03g0796301,1.636672244,4.60E-11,3.21E-09
Os06g0650900,1.639409985,2.23E-15,3.84E-13
Os11g0113700,1.641429695,1.58E-14,2.22E-12
Os04g0445100,1.64276503,4.12E-12,3.56E-10
Os01g0139600,1.654666905,7.32E-15,1.09E-12
Os01g0159600,1.666443205,6.59E-12,5.49E-10
Os01g0170051,1.667923732,1.87E-11,1.40E-09
Os05g0329400,1.66864319,7.07E-22,4.19E-19
Os12g0478200,1.668914268,1.17E-13,1.34E-11
Os05g0331800,1.670456213,4.87E-25,4.11E-22
Os07g0421600,1.676193035,9.57E-05,0.001104085
Os12g0530300,1.682306109,1.91E-11,1.42E-09
Os02g0732800,1.684309567,0.00022068,0.002245279
Os02g0756200,1.684694022,1.26E-09,6.39E-08
Os01g0805500,1.686387357,4.96E-09,2.14E-07
Os03g0727800,1.687178662,3.97E-09,1.76E-07
Os02g0483500,1.689301171,6.77E-05,0.000837001
Os02g0616600,1.689617959,2.18E-13,2.41E-11
Os10g0542400,1.691471017,5.30E-06,9.45E-05
Os10g0492900,1.691830888,3.48E-25,3.08E-22
Os12g0450300,1.696555253,1.09E-08,4.21E-07
Os06g0229000,1.699200534,7.24E-09,3.00E-07
Os10g0533150,1.710088925,4.08E-09,1.80E-07
Os01g0226400,1.710773992,4.88E-06,8.79E-05
Os01g0962100,1.715320994,6.06E-16,1.17E-13
Os08g0282500,1.715612705,3.45E-13,3.67E-11
Os03g0168100,1.717869245,4.96E-13,5.06E-11
Os04g0460200,1.718176948,1.21E-10,7.68E-09
Os12g0114000,1.718447431,9.48E-08,2.90E-06
Os02g0734800,1.722113644,1.80E-08,6.59E-07
Os12g0115300,1.722626603,0.001259841,0.009285233
Os08g0105800,1.723649819,1.00E-07,3.04E-06
Os06g0507100,1.724358627,6.63E-15,1.00E-12
Os03g0156600,1.726383819,6.36E-08,2.05E-06
Os03g0245800,1.728443535,8.96E-14,1.05E-11
Os12g0579450,1.730861839,7.86E-12,6.34E-10
Os03g0828300,1.731479407,0.000812438,0.006542411
Os02g0257200,1.731709175,8.96E-10,4.62E-08
Os05g0557900,1.733453591,0.000442931,0.003978976
Os02g0649300,1.735048068,1.53E-11,1.16E-09
Os03g0663900,1.738916043,4.03E-05,0.000540126
Os03g0820500,1.739204235,3.94E-11,2.81E-09
Os11g0533400,1.745506005,3.89E-16,7.93E-14
Os04g0107900,1.747710294,1.27E-26,1.37E-23
Os04g0185600,1.751071161,0.001059809,0.008119476
Os06g0662550,1.75533185,1.42E-05,0.000221307
Os02g0106100,1.758609296,2.56E-05,0.000366804
Os08g0392700,1.75993506,1.07E-07,3.23E-06
Os08g0104400,1.760281307,1.84E-05,0.000279775
Os02g0160250,1.764275224,1.98E-06,4.00E-05
Os05g0381400,1.771469624,2.18E-15,3.78E-13
Os02g0168200,1.772367777,0.000279398,0.002732133
Os05g0331532,1.77695569,2.06E-27,3.09E-24
Os03g0374600,1.777800832,4.17E-12,3.58E-10
Os09g0479800,1.782563262,0.000970957,0.007558817
Os01g0247700,1.789873252,2.64E-08,9.26E-07
Os04g0116800,1.793863677,1.06E-10,6.83E-09
Os12g0428700,1.793949294,0.000445361,0.003993208
Os05g0119100,1.795916033,3.54E-12,3.08E-10
Os10g0177200,1.796555287,1.62E-15,2.91E-13
Os01g0736500,1.796865998,0.001288645,0.009455801
Os07g0687900,1.798045373,8.50E-12,6.84E-10
Os10g0505900,1.802732662,1.80E-05,0.000275096
Os03g0360800,1.803471905,1.10E-06,2.43E-05
Os09g0544000,1.806307635,2.02E-19,8.23E-17
Os03g0277300,1.818940691,1.81E-18,5.70E-16
Os11g0145200,1.823443305,1.83E-06,3.76E-05
Os04g0434400,1.823834597,3.27E-14,4.34E-12
Os05g0218100,1.826230901,5.02E-23,3.54E-20
Os01g0910800,1.828322069,3.08E-15,4.95E-13
Os09g0482300,1.839551591,1.49E-13,1.68E-11
Os09g0482550,1.840053308,1.57E-13,1.76E-11
Os09g0325700,1.841724847,9.13E-14,1.06E-11
Os12g0269100,1.847930529,3.70E-18,1.03E-15
Os06g0171500,1.848474433,0.000371151,0.003458791
Os08g0387050,1.849154463,1.97E-15,3.48E-13
Os01g0959100,1.850903634,1.28E-11,9.91E-10
Os04g0305700,1.858667104,0.000202616,0.002093939
Os08g0475100,1.86120053,4.55E-09,1.98E-07
Os06g0341300,1.86552076,0.000483168,0.004283446
Os07g0115800,1.866051684,0.000564533,0.004882088
Os11g0303800,1.871499246,1.41E-10,8.70E-09
Os05g0595100,1.873644122,5.79E-16,1.13E-13
Os08g0508000,1.879068641,0.001082348,0.00824937
Os05g0498900,1.885151835,1.70E-14,2.34E-12
Os10g0465700,1.885878632,5.66E-21,2.91E-18
Os03g0316200,1.887136855,6.23E-19,2.17E-16
Os02g0574800,1.892136197,9.70E-08,2.95E-06
Os07g0529000,1.894510218,0.000280306,0.002738343
Os03g0643100,1.896178827,0.000975868,0.007587055
Os02g0782500,1.896324215,1.38E-15,2.50E-13
Os08g0539200,1.905297083,0.00012253,0.001364101
Os05g0438201,1.907024457,7.88E-10,4.12E-08
Os07g0142300,1.908742998,0.000463655,0.004132163
Os04g0631100,1.909333207,0.000117383,0.001314854
Os02g0229800,1.911289881,3.69E-09,1.65E-07
Os01g0699400,1.920102069,1.77E-07,5.01E-06
Os06g0697200,1.925750878,0.000491191,0.004342893
Os02g0629000,1.928052901,1.57E-19,6.76E-17
Os09g0260200,1.933561933,0.000676185,0.00564119
Os04g0112533,1.936201095,1.06E-06,2.35E-05
Os05g0465000,1.948357124,7.39E-07,1.71E-05
Os06g0127100,1.949649439,1.83E-05,0.000277948
Os12g0187800,1.95804161,0.000708029,0.005861387
Os01g0943800,1.961189643,0.001373092,0.009933584
Os04g0413100,1.962301783,0.000439228,0.003953904
Os03g0820300,1.962647741,1.77E-08,6.53E-07
Os03g0397600,1.977596151,4.49E-05,0.000593669
Os09g0120033,1.984860047,4.00E-05,0.000537
Os01g0846400,1.987081277,1.47E-06,3.12E-05
Os01g0620301,1.990510836,6.14E-07,1.47E-05
Os12g0510750,1.992227581,1.77E-10,1.05E-08
Os11g0454000,1.998633379,1.95E-05,0.000294578
Os05g0572000,2.013691641,1.20E-08,4.58E-07
Os01g0592500,2.014626692,1.16E-06,2.53E-05
Os04g0290400,2.017000143,3.41E-05,0.000468722
Os06g0229066,2.017443124,2.17E-09,1.03E-07
Os08g0427800,2.02556169,3.43E-12,2.99E-10
Os11g0453900,2.031690832,3.69E-18,1.03E-15
Os01g0942900,2.035997687,0.000680294,0.005671516
Os01g0634500,2.036232019,0.000544137,0.004716964
Os01g0661750,2.050994717,1.72E-07,4.90E-06
Os03g0645900,2.055316298,3.91E-05,0.000527743
Os11g0244200,2.060150636,1.43E-16,3.12E-14
Os09g0378700,2.062888956,7.19E-14,8.76E-12
Os08g0205800,2.065586989,2.06E-15,3.60E-13
Os11g0269700,2.065881477,2.47E-28,4.49E-25
Os01g0385400,2.066660144,2.20E-05,0.000324562
Os05g0577500,2.066805577,4.32E-07,1.09E-05
Os01g0209500,2.069527356,1.40E-12,1.31E-10
Os02g0691500,2.080403524,7.93E-09,3.21E-07
